Fips_5,democrat,republican,others
13057,0.225190329,0.719804004,0.055005667
13059,0.658195482,0.2827508,0.059053718
13061,0.54752553,0.44461901,0.00785546
13063,0.842352384,0.1361742,0.021473417
13065,0.279429735,0.703462322,0.017107943
13067,0.484013917,0.462222545,0.053763538
13069,0.294214876,0.689040604,0.01674452
13071,0.254183793,0.726512038,0.019304169
13073,0.291722657,0.665477349,0.042799994
13075,0.289417203,0.689450223,0.021132574
13077,0.268572354,0.6888493,0.042578346
13079,0.274536321,0.702279753,0.023183926
13081,0.377662407,0.60556443,0.016773163
13083,0.154597885,0.809195771,0.036206344
13085,0.123076923,0.841478963,0.035444114
13087,0.400933307,0.585261521,0.013805172
13089,0.798616075,0.163516618,0.037867307
13091,0.262376944,0.716364674,0.021258382
13093,0.485099767,0.505571392,0.009328842
13095,0.68386775,0.300173087,0.015959163
13097,0.5369947,0.429820915,0.033184385
13099,0.45308255,0.533333333,0.013584117
13101,0.131979695,0.851945854,0.01607445
13103,0.206880382,0.761957541,0.031162077
13105,0.317891574,0.662576687,0.019531739
13107,0.309796438,0.678753181,0.011450382
13109,0.31275948,0.665375035,0.021865486
13111,0.162800542,0.815441923,0.021757535
13113,0.382250094,0.575377998,0.042371907
13115,0.264649792,0.696775312,0.038574896
13117,0.238869488,0.711161564,0.049968948
13119,0.146200894,0.829687132,0.024111974
13121,0.688588774,0.273030731,0.038380495
13123,0.153840132,0.820245831,0.025914037
13125,0.099280576,0.888489209,0.012230216
13127,0.343665178,0.627849283,0.028485538
13129,0.167783111,0.80125534,0.030961549
13131,0.327037881,0.657006404,0.015955715
13133,0.361387257,0.620198825,0.018413918
13135,0.506053343,0.447685415,0.046261242
13137,0.15286585,0.81204211,0.03509204
13139,0.228873738,0.731787705,0.039338558
13141,0.754469274,0.23547486,0.010055866
13143,0.129875847,0.84397288,0.026151272
13145,0.247606351,0.723306266,0.029087383
13147,0.255510527,0.720173965,0.024315509
13149,0.175941274,0.798010893,0.026047833
13151,0.506824211,0.462952838,0.030222951
13153,0.375389071,0.589723531,0.034887398
13155,0.242779292,0.740054496,0.017166213
13157,0.165171019,0.801176903,0.033652078
13159,0.255417701,0.721257237,0.023325062
13161,0.176805338,0.80533752,0.017857143
13163,0.548363949,0.439580941,0.012055109
13165,0.367473822,0.620091623,0.012434555
13167,0.308193163,0.683396636,0.008410201
13169,0.315592383,0.661700263,0.022707354
13171,0.298213347,0.681818182,0.019968471
13173,0.280738419,0.691048415,0.028213166
13175,0.345724526,0.635483871,0.018791603
13177,0.22413915,0.752739871,0.023120979
13179,0.591959363,0.379978938,0.028061699
13181,0.310336421,0.672598732,0.017064846
13183,0.330337624,0.63784309,0.031819286
13185,0.398465811,0.572278799,0.029255389
13187,0.178672032,0.77416499,0.047162978
13189,0.399115235,0.586102719,0.014782046
13191,0.390140606,0.590716585,0.019142809
13193,0.630977373,0.359225566,0.009797061
13195,0.20211702,0.766877813,0.031005168
13197,0.380250784,0.602194357,0.017554859
13199,0.412715634,0.566561788,0.020722578
13201,0.244889937,0.74331761,0.011792453
13205,0.443274112,0.543020305,0.013705584
13207,0.28146922,0.696145661,0.022385119
13209,0.236856823,0.746644295,0.016498881
13211,0.281055409,0.692242744,0.026701847
13213,0.144485471,0.830069032,0.025445497
13215,0.577282999,0.390775293,0.031941708
13217,0.498851934,0.475435924,0.025712142
13219,0.276986451,0.666286168,0.056727381
13221,0.274348217,0.692987714,0.03266407
